# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-157.001093 0.999990 0.006369 0.999990 0.006369 
-156.844013 0.999990 0.006376 0.999990 0.006376 
-156.686934 0.999990 0.006382 0.999990 0.006382 
-156.529854 0.999989 0.006389 0.999989 0.006389 
-156.372774 0.999989 0.006395 0.999989 0.006395 
-156.215695 0.999989 0.006401 0.999989 0.006401 
-156.058615 0.999989 0.006408 0.999989 0.006408 
-155.901535 0.999989 0.006414 0.999989 0.006414 
-155.744456 0.999989 0.006421 0.999989 0.006421 
-155.587376 0.999989 0.006427 0.999989 0.006427 
-155.430297 0.999989 0.006434 0.999989 0.006434 
-155.273217 0.999989 0.006440 0.999989 0.006440 
-155.116137 0.999989 0.006447 0.999989 0.006447 
-154.959058 0.999989 0.006453 0.999989 0.006453 
-154.801978 0.999989 0.006460 0.999989 0.006460 
-154.644898 0.999989 0.006466 0.999989 0.006466 
-154.487819 0.999989 0.006473 0.999989 0.006473 
-154.330739 0.999989 0.006480 0.999989 0.006480 
-154.173659 0.999989 0.006486 0.999989 0.006486 
-154.016580 0.999989 0.006493 0.999989 0.006493 
-153.859500 0.999989 0.006499 0.999989 0.006499 
-153.702421 0.999989 0.006506 0.999989 0.006506 
-153.545341 0.999989 0.006513 0.999989 0.006513 
-153.388261 0.999989 0.006519 0.999989 0.006519 
-153.231182 0.999989 0.006526 0.999989 0.006526 
-153.074102 0.999989 0.006533 0.999989 0.006533 
-152.917022 0.999989 0.006539 0.999989 0.006539 
-152.759943 0.999989 0.006546 0.999989 0.006546 
-152.602863 0.999989 0.006553 0.999989 0.006553 
-152.445784 0.999989 0.006560 0.999989 0.006560 
-152.288704 0.999989 0.006566 0.999989 0.006566 
-152.131624 0.999989 0.006573 0.999989 0.006573 
-151.974545 0.999989 0.006580 0.999989 0.006580 
-151.817465 0.999989 0.006587 0.999989 0.006587 
-151.660385 0.999989 0.006594 0.999989 0.006594 
-151.503306 0.999989 0.006600 0.999989 0.006600 
