# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-6.000000 0.014316 0.014316 0.014316 0.014316
-5.970000 0.014721 0.014721 0.014721 0.014721
-5.940000 0.015137 0.015137 0.015137 0.015137
-5.910000 0.015567 0.015567 0.015567 0.015567
-5.880000 0.016008 0.016008 0.016008 0.016008
-5.850000 0.016463 0.016463 0.016463 0.016463
-5.820000 0.016931 0.016931 0.016931 0.016931
-5.790000 0.017412 0.017412 0.017412 0.017412
-5.760000 0.017906 0.017906 0.017906 0.017906
-5.730000 0.018413 0.018413 0.018413 0.018413
-5.700000 0.018934 0.018934 0.018934 0.018934
-5.670000 0.019469 0.019469 0.019469 0.019469
-5.640000 0.020016 0.020016 0.020016 0.020016
-5.610000 0.020577 0.020577 0.020577 0.020577
-5.580000 0.021152 0.021152 0.021152 0.021152
-5.550000 0.021739 0.021739 0.021739 0.021739
-5.520000 0.022339 0.022339 0.022339 0.022339
-5.490000 0.022951 0.022951 0.022951 0.022951
-5.460000 0.023576 0.023576 0.023576 0.023576
-5.430000 0.024212 0.024212 0.024212 0.024212
-5.400000 0.024859 0.024859 0.024859 0.024859
-5.370000 0.025517 0.025517 0.025517 0.025517
-5.340000 0.026184 0.026184 0.026184 0.026184
-5.310000 0.026861 0.026861 0.026861 0.026861
-5.280000 0.027547 0.027547 0.027547 0.027547
-5.250000 0.028240 0.028240 0.028240 0.028240
-5.220000 0.028940 0.028940 0.028940 0.028940
-5.190000 0.029646 0.029646 0.029646 0.029646
-5.160000 0.030357 0.030357 0.030357 0.030357
-5.130000 0.031073 0.031073 0.031073 0.031073
-5.100000 0.031792 0.031792 0.031792 0.031792
-5.070000 0.032513 0.032513 0.032513 0.032513
-5.040000 0.033235 0.033235 0.033235 0.033235
-5.010000 0.033958 0.033958 0.033958 0.033958
-4.980000 0.034681 0.034681 0.034681 0.034681
-4.950000 0.035402 0.035402 0.035402 0.035402
-4.920000 0.036121 0.036121 0.036121 0.036121
-4.890000 0.036836 0.036836 0.036836 0.036836
-4.860000 0.037548 0.037548 0.037548 0.037548
-4.830000 0.038254 0.038254 0.038254 0.038254
-4.800000 0.038955 0.038955 0.038955 0.038955
-4.770000 0.039650 0.039650 0.039650 0.039650
-4.740000 0.040338 0.040338 0.040338 0.040338
-4.710000 0.041018 0.041018 0.041018 0.041018
-4.680000 0.041690 0.041690 0.041690 0.041690
-4.650000 0.042353 0.042353 0.042353 0.042353
-4.620000 0.043007 0.043007 0.043007 0.043007
-4.590000 0.043652 0.043652 0.043652 0.043652
-4.560000 0.044286 0.044286 0.044286 0.044286
-4.530000 0.044910 0.044910 0.044910 0.044910
-4.500000 0.045524 0.045524 0.045524 0.045524
-4.470000 0.046127 0.046127 0.046127 0.046127
-4.440000 0.046718 0.046718 0.046718 0.046718
-4.410000 0.047299 0.047299 0.047299 0.047299
-4.380000 0.047869 0.047869 0.047869 0.047869
-4.350000 0.048428 0.048428 0.048428 0.048428
-4.320000 0.048975 0.048975 0.048975 0.048975
-4.290000 0.049512 0.049512 0.049512 0.049512
-4.260000 0.050038 0.050038 0.050038 0.050038
-4.230000 0.050553 0.050553 0.050553 0.050553
-4.200000 0.051058 0.051058 0.051058 0.051058
-4.170000 0.051553 0.051553 0.051553 0.051553
-4.140000 0.052037 0.052037 0.052037 0.052037
-4.110000 0.052513 0.052513 0.052513 0.052513
-4.080000 0.052979 0.052979 0.052979 0.052979
-4.050000 0.053437 0.053437 0.053437 0.053437
