# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-6.000000 1.302886 -0.709849 1.302886 -0.709849 
-5.970000 1.304181 -0.716914 1.304181 -0.716914 
-5.940000 1.305571 -0.724041 1.305571 -0.724041 
-5.910000 1.307058 -0.731230 1.307058 -0.731230 
-5.880000 1.308646 -0.738481 1.308646 -0.738481 
-5.850000 1.310338 -0.745794 1.310338 -0.745794 
-5.820000 1.312136 -0.753167 1.312136 -0.753167 
-5.790000 1.314043 -0.760601 1.314043 -0.760601 
-5.760000 1.316062 -0.768093 1.316062 -0.768093 
-5.730000 1.318197 -0.775643 1.318197 -0.775643 
-5.700000 1.320450 -0.783251 1.320450 -0.783251 
-5.670000 1.322826 -0.790915 1.322826 -0.790915 
-5.640000 1.325326 -0.798634 1.325326 -0.798634 
-5.610000 1.327955 -0.806406 1.327955 -0.806406 
-5.580000 1.330716 -0.814231 1.330716 -0.814231 
-5.550000 1.333612 -0.822106 1.333612 -0.822106 
-5.520000 1.336647 -0.830031 1.336647 -0.830031 
-5.490000 1.339825 -0.838002 1.339825 -0.838002 
-5.460000 1.343148 -0.846019 1.343148 -0.846019 
-5.430000 1.346620 -0.854079 1.346620 -0.854079 
-5.400000 1.350246 -0.862180 1.350246 -0.862180 
-5.370000 1.354028 -0.870320 1.354028 -0.870320 
-5.340000 1.357971 -0.878496 1.357971 -0.878496 
-5.310000 1.362078 -0.886705 1.362078 -0.886705 
-5.280000 1.366354 -0.894946 1.366354 -0.894946 
-5.250000 1.370801 -0.903213 1.370801 -0.903213 
-5.220000 1.375423 -0.911506 1.375423 -0.911506 
-5.190000 1.380225 -0.919819 1.380225 -0.919819 
-5.160000 1.385210 -0.928149 1.385210 -0.928149 
-5.130000 1.390382 -0.936494 1.390382 -0.936494 
-5.100000 1.395744 -0.944848 1.395744 -0.944848 
-5.070000 1.401301 -0.953208 1.401301 -0.953208 
-5.040000 1.407056 -0.961569 1.407056 -0.961569 
-5.010000 1.413013 -0.969926 1.413013 -0.969926 
-4.980000 1.419175 -0.978275 1.419175 -0.978275 
-4.950000 1.425547 -0.986610 1.425547 -0.986610 
-4.920000 1.432130 -0.994927 1.432130 -0.994927 
-4.890000 1.438929 -1.003220 1.438929 -1.003220 
-4.860000 1.445948 -1.011482 1.445948 -1.011482 
-4.830000 1.453189 -1.019708 1.453189 -1.019708 
-4.800000 1.460655 -1.027892 1.460655 -1.027892 
-4.770000 1.468349 -1.036027 1.468349 -1.036027 
-4.740000 1.476275 -1.044106 1.476275 -1.044106 
-4.710000 1.484434 -1.052122 1.484434 -1.052122 
-4.680000 1.492829 -1.060068 1.492829 -1.060068 
-4.650000 1.501463 -1.067936 1.501463 -1.067936 
-4.620000 1.510337 -1.075718 1.510337 -1.075718 
