# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-6.000000 0.024279 0.024279 0.024279 0.024279
-5.970000 0.024366 0.024366 0.024366 0.024366
-5.940000 0.024457 0.024457 0.024457 0.024457
-5.910000 0.024549 0.024549 0.024549 0.024549
-5.880000 0.024645 0.024645 0.024645 0.024645
-5.850000 0.024743 0.024743 0.024743 0.024743
-5.820000 0.024844 0.024844 0.024844 0.024844
-5.790000 0.024949 0.024949 0.024949 0.024949
-5.760000 0.025056 0.025056 0.025056 0.025056
-5.730000 0.025168 0.025168 0.025168 0.025168
-5.700000 0.025282 0.025282 0.025282 0.025282
-5.670000 0.025401 0.025401 0.025401 0.025401
-5.640000 0.025523 0.025523 0.025523 0.025523
-5.610000 0.025649 0.025649 0.025649 0.025649
-5.580000 0.025779 0.025779 0.025779 0.025779
-5.550000 0.025913 0.025913 0.025913 0.025913
-5.520000 0.026051 0.026051 0.026051 0.026051
-5.490000 0.026194 0.026194 0.026194 0.026194
-5.460000 0.026342 0.026342 0.026342 0.026342
-5.430000 0.026494 0.026494 0.026494 0.026494
-5.400000 0.026650 0.026650 0.026650 0.026650
-5.370000 0.026812 0.026812 0.026812 0.026812
-5.340000 0.026978 0.026978 0.026978 0.026978
-5.310000 0.027150 0.027150 0.027150 0.027150
-5.280000 0.027327 0.027327 0.027327 0.027327
-5.250000 0.027509 0.027509 0.027509 0.027509
-5.220000 0.027697 0.027697 0.027697 0.027697
-5.190000 0.027890 0.027890 0.027890 0.027890
-5.160000 0.028089 0.028089 0.028089 0.028089
-5.130000 0.028294 0.028294 0.028294 0.028294
-5.100000 0.028505 0.028505 0.028505 0.028505
-5.070000 0.028722 0.028722 0.028722 0.028722
-5.040000 0.028945 0.028945 0.028945 0.028945
-5.010000 0.029175 0.029175 0.029175 0.029175
-4.980000 0.029411 0.029411 0.029411 0.029411
-4.950000 0.029654 0.029654 0.029654 0.029654
-4.920000 0.029904 0.029904 0.029904 0.029904
-4.890000 0.030161 0.030161 0.030161 0.030161
-4.860000 0.030426 0.030426 0.030426 0.030426
-4.830000 0.030697 0.030697 0.030697 0.030697
-4.800000 0.030976 0.030976 0.030976 0.030976
-4.770000 0.031264 0.031264 0.031264 0.031264
-4.740000 0.031558 0.031558 0.031558 0.031558
-4.710000 0.031862 0.031862 0.031862 0.031862
-4.680000 0.032173 0.032173 0.032173 0.032173
-4.650000 0.032493 0.032493 0.032493 0.032493
-4.620000 0.032821 0.032821 0.032821 0.032821
-4.590000 0.033159 0.033159 0.033159 0.033159
-4.560000 0.033506 0.033506 0.033506 0.033506
-4.530000 0.033862 0.033862 0.033862 0.033862
-4.500000 0.034227 0.034227 0.034227 0.034227
-4.470000 0.034602 0.034602 0.034602 0.034602
-4.440000 0.034987 0.034987 0.034987 0.034987
-4.410000 0.035383 0.035383 0.035383 0.035383
-4.380000 0.035788 0.035788 0.035788 0.035788
-4.350000 0.036205 0.036205 0.036205 0.036205
-4.320000 0.036632 0.036632 0.036632 0.036632
-4.290000 0.037070 0.037070 0.037070 0.037070
-4.260000 0.037519 0.037519 0.037519 0.037519
-4.230000 0.037980 0.037980 0.037980 0.037980
-4.200000 0.038453 0.038453 0.038453 0.038453
-4.170000 0.038937 0.038937 0.038937 0.038937
-4.140000 0.039433 0.039433 0.039433 0.039433
-4.110000 0.039942 0.039942 0.039942 0.039942
-4.080000 0.040463 0.040463 0.040463 0.040463
-4.050000 0.040997 0.040997 0.040997 0.040997
-4.020000 0.041543 0.041543 0.041543 0.041543
-3.990000 0.042103 0.042103 0.042103 0.042103
-3.960000 0.042675 0.042675 0.042675 0.042675
-3.930000 0.043260 0.043260 0.043260 0.043260
-3.900000 0.043859 0.043859 0.043859 0.043859
-3.870000 0.044471 0.044471 0.044471 0.044471
-3.840000 0.045097 0.045097 0.045097 0.045097
-3.810000 0.045736 0.045736 0.045736 0.045736
-3.780000 0.046389 0.046389 0.046389 0.046389
-3.750000 0.047055 0.047055 0.047055 0.047055
-3.720000 0.047735 0.047735 0.047735 0.047735
-3.690000 0.048428 0.048428 0.048428 0.048428
-3.660000 0.049134 0.049134 0.049134 0.049134
-3.630000 0.049854 0.049854 0.049854 0.049854
-3.600000 0.050587 0.050587 0.050587 0.050587
-3.570000 0.051333 0.051333 0.051333 0.051333
-3.540000 0.052091 0.052091 0.052091 0.052091
-3.510000 0.052862 0.052862 0.052862 0.052862
-3.480000 0.053644 0.053644 0.053644 0.053644
-3.450000 0.054438 0.054438 0.054438 0.054438
-3.420000 0.055244 0.055244 0.055244 0.055244
-3.390000 0.056059 0.056059 0.056059 0.056059
-3.360000 0.056885 0.056885 0.056885 0.056885
-3.330000 0.057719 0.057719 0.057719 0.057719
-3.300000 0.058562 0.058562 0.058562 0.058562
-3.270000 0.059411 0.059411 0.059411 0.059411
-3.240000 0.060268 0.060268 0.060268 0.060268
-3.210000 0.061129 0.061129 0.061129 0.061129
-3.180000 0.061994 0.061994 0.061994 0.061994
-3.150000 0.062861 0.062861 0.062861 0.062861
