# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-6.280043714525997e+02 1.999975764154157e+00 6.455561391922021e-03 1.999975741352668e+00 6.455561396718323e-03 
-6.273760529218816e+02 1.999975764152631e+00 6.461852542744007e-03 1.999975741351142e+00 6.461852547502450e-03 
-6.267477343911637e+02 1.999975764151100e+00 6.468156478575099e-03 1.999975741349610e+00 6.468156483387444e-03 
-6.261194158604458e+02 1.999975764149565e+00 6.474473237877448e-03 1.999975741348075e+00 6.474473242731954e-03 
-6.254910973297278e+02 1.999975764148025e+00 6.480802859807122e-03 1.999975741346535e+00 6.480802864481716e-03 
-6.248627787990099e+02 1.999975764146479e+00 6.487145382735038e-03 1.999975741344990e+00 6.487145387486210e-03 
-6.242344602682919e+02 1.999975764144931e+00 6.493500845802108e-03 1.999975741343441e+00 6.493500850369704e-03 
-6.236061417375739e+02 1.999975764143375e+00 6.499869287729582e-03 1.999975741341886e+00 6.499869292390464e-03 
-6.229778232068560e+02 1.999975764141817e+00 6.506250748061465e-03 1.999975741340327e+00 6.506250752687126e-03 
-6.223495046761381e+02 1.999975764140253e+00 6.512645266361722e-03 1.999975741338763e+00 6.512645270911999e-03 
-6.217211861454200e+02 1.999975764138684e+00 6.519052882014403e-03 1.999975741337195e+00 6.519052886716864e-03 
-6.210928676147021e+02 1.999975764137111e+00 6.525473634918011e-03 1.999975741335621e+00 6.525473639720059e-03 
-6.204645490839841e+02 1.999975764135533e+00 6.531907564617967e-03 1.999975741334043e+00 6.531907569355760e-03 
-6.198362305532662e+02 1.999975764133950e+00 6.538354711551647e-03 1.999975741332461e+00 6.538354716261935e-03 
-6.192079120225483e+02 1.999975764132363e+00 6.544815115684888e-03 1.999975741330874e+00 6.544815120401254e-03 
-6.185795934918302e+02 1.999975764130770e+00 6.551288817612605e-03 1.999975741329280e+00 6.551288822394780e-03 
-6.179512749611123e+02 1.999975764129173e+00 6.557775857762155e-03 1.999975741327683e+00 6.557775862632953e-03 
-6.173229564303944e+02 1.999975764127571e+00 6.564276277006148e-03 1.999975741326082e+00 6.564276281659509e-03 
-6.166946378996764e+02 1.999975764125963e+00 6.570790115885072e-03 1.999975741324473e+00 6.570790120720760e-03 
-6.160663193689584e+02 1.999975764124352e+00 6.577317415891987e-03 1.999975741322862e+00 6.577317420428164e-03 
-6.154380008382404e+02 1.999975764122735e+00 6.583858217740046e-03 1.999975741321245e+00 6.583858222609373e-03 
-6.148096823075225e+02 1.999975764121113e+00 6.590412563508702e-03 1.999975741319624e+00 6.590412568212745e-03 
-6.141813637768046e+02 1.999975764119486e+00 6.596980494111782e-03 1.999975741317996e+00 6.596980498813743e-03 
-6.135530452460866e+02 1.999975764117854e+00 6.603562051732237e-03 1.999975741316364e+00 6.603562056106876e-03 
-6.129247267153686e+02 1.999975764116217e+00 6.610157277592316e-03 1.999975741314727e+00 6.610157282244511e-03 
-6.122964081846507e+02 1.999975764114575e+00 6.616766214350422e-03 1.999975741313085e+00 6.616766219040393e-03 
-6.116680896539327e+02 1.999975764112928e+00 6.623388904330174e-03 1.999975741311438e+00 6.623388908949146e-03 
-6.110397711232148e+02 1.999975764111276e+00 6.630025389788935e-03 1.999975741309786e+00 6.630025394343902e-03 
-6.104114525924969e+02 1.999975764109619e+00 6.636675712983153e-03 1.999975741308130e+00 6.636675717494822e-03 
-6.097831340617788e+02 1.999975764107956e+00 6.643339917149882e-03 1.999975741306466e+00 6.643339921516334e-03 
-6.091548155310609e+02 1.999975764106289e+00 6.650018044723371e-03 1.999975741304799e+00 6.650018049150469e-03 
-6.085264970003429e+02 1.999975764104617e+00 6.656710139096383e-03 1.999975741303126e+00 6.656710143842420e-03 
-6.078981784696250e+02 1.999975764102938e+00 6.663416243833126e-03 1.999975741301448e+00 6.663416248570919e-03 
-6.072698599389070e+02 1.999975764101256e+00 6.670136402400245e-03 1.999975741299765e+00 6.670136406621147e-03 
-6.066415414081890e+02 1.999975764099568e+00 6.676870657824047e-03 1.999975741298077e+00 6.676870662401552e-03 
-6.060132228774711e+02 1.999975764097873e+00 6.683619054229262e-03 1.999975741296383e+00 6.683619058983542e-03 
-6.053849043467532e+02 1.999975764096174e+00 6.690381636228482e-03 1.999975741294684e+00 6.690381640881343e-03 
-6.047565858160352e+02 1.999975764094470e+00 6.697158447145884e-03 1.999975741292980e+00 6.697158451874352e-03 
-6.041282672853172e+02 1.999975764092762e+00 6.703949531952136e-03 1.999975741291271e+00 6.703949536532666e-03 
-6.034999487545992e+02 1.999975764091047e+00 6.710754934832031e-03 1.999975741289556e+00 6.710754939580621e-03 
-6.028716302238813e+02 1.999975764089326e+00 6.717574700916634e-03 1.999975741287836e+00 6.717574705631363e-03 
-6.022433116931634e+02 1.999975764087601e+00 6.724408875010801e-03 1.999975741286110e+00 6.724408879585059e-03 
-6.016149931624453e+02 1.999975764085870e+00 6.731257502220034e-03 1.999975741284380e+00 6.731257506762400e-03 
-6.009866746317274e+02 1.999975764084133e+00 6.738120627733962e-03 1.999975741282644e+00 6.738120632230921e-03 
-6.003583561010095e+02 1.999975764082392e+00 6.744998297092936e-03 1.999975741280901e+00 6.744998301668553e-03 
-5.997300375702915e+02 1.999975764080645e+00 6.751890556370654e-03 1.999975741279154e+00 6.751890560930396e-03 
-5.991017190395736e+02 1.999975764078892e+00 6.758797450822307e-03 1.999975741277401e+00 6.758797455512722e-03 
-5.984734005088555e+02 1.999975764077133e+00 6.765719027148343e-03 1.999975741275642e+00 6.765719031462031e-03 
-5.978450819781376e+02 1.999975764075369e+00 6.772655331309135e-03 1.999975741273879e+00 6.772655335805011e-03 
-5.972167634474197e+02 1.999975764073600e+00 6.779606409696576e-03 1.999975741272110e+00 6.779606413999939e-03 
-5.965884449167017e+02 1.999975764071825e+00 6.786572308811273e-03 1.999975741270334e+00 6.786572313734862e-03 
-5.959601263859837e+02 1.999975764070045e+00 6.793553076439307e-03 1.999975741268553e+00 6.793553081037157e-03 
-5.953318078552658e+02 1.999975764068258e+00 6.800548758591596e-03 1.999975741266768e+00 6.800548763133102e-03 
-5.947034893245478e+02 1.999975764066465e+00 6.807559403256280e-03 1.999975741264975e+00 6.807559407670694e-03 
-5.940751707938299e+02 1.999975764064668e+00 6.814585057627276e-03 1.999975741263178e+00 6.814585061981349e-03 
-5.934468522631120e+02 1.999975764062865e+00 6.821625768906991e-03 1.999975741261374e+00 6.821625773154399e-03 
-5.928185337323939e+02 1.999975764061055e+00 6.828681585636237e-03 1.999975741259564e+00 6.828681590096281e-03 
-5.921902152016760e+02 1.999975764059240e+00 6.835752555570285e-03 1.999975741257750e+00 6.835752559831348e-03 
-5.915618966709580e+02 1.999975764057421e+00 6.842838726883488e-03 1.999975741255930e+00 6.842838731389966e-03 
-5.909335781402401e+02 1.999975764055594e+00 6.849940148463712e-03 1.999975741254103e+00 6.849940152889866e-03 
-5.903052596095222e+02 1.999975764053761e+00 6.857056868687067e-03 1.999975741252270e+00 6.857056872955652e-03 
-5.896769410788041e+02 1.999975764051923e+00 6.864188936173604e-03 1.999975741250432e+00 6.864188940597787e-03 
-5.890486225480862e+02 1.999975764050080e+00 6.871336400876837e-03 1.999975741248589e+00 6.871336405111422e-03 
-5.884203040173683e+02 1.999975764048229e+00 6.878499311064046e-03 1.999975741246738e+00 6.878499315535080e-03 
-5.877919854866503e+02 1.999975764046373e+00 6.885677717072186e-03 1.999975741244882e+00 6.885677721489097e-03 
-5.871636669559323e+02 1.999975764044511e+00 6.892871668224387e-03 1.999975741243020e+00 6.892871672799228e-03 
-5.865353484252144e+02 1.999975764042644e+00 6.900081214558873e-03 1.999975741241153e+00 6.900081219031379e-03 
-5.859070298944964e+02 1.999975764040769e+00 6.907306406616492e-03 1.999975741239278e+00 6.907306410597086e-03 
-5.852787113637785e+02 1.999975764038890e+00 6.914547293772416e-03 1.999975741237399e+00 6.914547298201290e-03 
-5.846503928330606e+02 1.999975764037004e+00 6.921803927434522e-03 1.999975741235513e+00 6.921803931703330e-03 
-5.840220743023425e+02 1.999975764035112e+00 6.929076358427100e-03 1.999975741233621e+00 6.929076362621744e-03 
-5.833937557716246e+02 1.999975764033213e+00 6.936364637058490e-03 1.999975741231722e+00 6.936364641528941e-03 
-5.827654372409066e+02 1.999975764031309e+00 6.943668815568543e-03 1.999975741229818e+00 6.943668819840515e-03 
-5.821371187101887e+02 1.999975764029399e+00 6.950988944681546e-03 1.999975741227908e+00 6.950988948990600e-03 
-5.815088001794707e+02 1.999975764027482e+00 6.958325076554667e-03 1.999975741225992e+00 6.958325080888866e-03 
