# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-6.000000 0.024669 0.024620 0.024669 0.024620
-5.970000 0.026701 0.026815 0.026701 0.026815
-5.940000 0.028956 0.029271 0.028956 0.029271
-5.910000 0.031435 0.031986 0.031435 0.031986
-5.880000 0.034124 0.034942 0.034124 0.034942
-5.850000 0.036997 0.038102 0.036997 0.038102
-5.820000 0.040009 0.041405 0.040009 0.041405
-5.790000 0.043098 0.044770 0.043098 0.044770
-5.760000 0.046183 0.048088 0.046183 0.048088
-5.730000 0.049165 0.051236 0.049165 0.051236
-5.700000 0.051943 0.054090 0.051943 0.054090
-5.670000 0.054423 0.056554 0.054423 0.056554
-5.640000 0.056530 0.058563 0.056530 0.058563
-5.610000 0.058203 0.060058 0.058203 0.060058
-5.580000 0.059378 0.060959 0.059378 0.060959
-5.550000 0.059962 0.061144 0.059962 0.061144
-5.520000 0.059836 0.060465 0.059836 0.060465
-5.490000 0.058878 0.058812 0.058878 0.058812
-5.460000 0.057017 0.056183 0.057017 0.056183
-5.430000 0.054285 0.052724 0.054285 0.052724
-5.400000 0.050846 0.048717 0.050846 0.048717
-5.370000 0.046965 0.044505 0.046965 0.044505
-5.340000 0.042948 0.040401 0.042948 0.040401
-5.310000 0.039063 0.036630 0.039063 0.036630
-5.280000 0.035502 0.033311 0.035502 0.033311
-5.250000 0.032366 0.030478 0.032366 0.030478
-5.220000 0.029683 0.028114 0.029683 0.028114
-5.190000 0.027437 0.026174 0.027437 0.026174
-5.160000 0.025589 0.024603 0.025589 0.024603
-5.130000 0.024092 0.023350 0.024092 0.023350
-5.100000 0.022897 0.022368 0.022897 0.022368
-5.070000 0.021963 0.021617 0.021963 0.021617
-5.040000 0.021253 0.021065 0.021253 0.021065
-5.010000 0.020739 0.020686 0.020739 0.020686
-4.980000 0.020394 0.020459 0.020394 0.020459
-4.950000 0.020202 0.020367 0.020202 0.020367
-4.920000 0.020147 0.020400 0.020147 0.020400
-4.890000 0.020217 0.020547 0.020217 0.020547
-4.860000 0.020406 0.020804 0.020406 0.020804
-4.830000 0.020709 0.021166 0.020709 0.021166
-4.800000 0.021121 0.021630 0.021121 0.021630
-4.770000 0.021643 0.022198 0.021643 0.022198
-4.740000 0.022275 0.022869 0.022275 0.022869
-4.710000 0.023019 0.023647 0.023019 0.023647
-4.680000 0.023880 0.024535 0.023880 0.024535
-4.650000 0.024860 0.025537 0.024860 0.025537
-4.620000 0.025966 0.026656 0.025966 0.026656
-4.590000 0.027202 0.027898 0.027202 0.027898
-4.560000 0.028572 0.029265 0.028572 0.029265
-4.530000 0.030080 0.030760 0.030080 0.030760
-4.500000 0.031726 0.032382 0.031726 0.032382
-4.470000 0.033509 0.034130 0.033509 0.034130
-4.440000 0.035424 0.035997 0.035424 0.035997
-4.410000 0.037462 0.037977 0.037462 0.037977
-4.380000 0.039611 0.040057 0.039611 0.040057
-4.350000 0.041855 0.042224 0.041855 0.042224
-4.320000 0.044178 0.044462 0.044178 0.044462
-4.290000 0.046558 0.046751 0.046558 0.046751
-4.260000 0.048972 0.049069 0.048972 0.049069
-4.230000 0.051393 0.051393 0.051393 0.051393
-4.200000 0.053789 0.053693 0.053789 0.053693
-4.170000 0.056126 0.055939 0.056126 0.055939
-4.140000 0.058370 0.058102 0.058370 0.058102
-4.110000 0.060491 0.060153 0.060491 0.060153
-4.080000 0.062468 0.062075 0.062468 0.062075
-4.050000 0.064288 0.063854 0.064288 0.063854
-4.020000 0.065951 0.065488 0.065951 0.065488
-3.990000 0.067464 0.066982 0.067464 0.066982
-3.960000 0.068839 0.068345 0.068839 0.068345
-3.930000 0.070091 0.069590 0.070091 0.069590
-3.900000 0.071232 0.070727 0.071232 0.070727
-3.870000 0.072274 0.071764 0.072274 0.071764
-3.840000 0.073218 0.072705 0.073218 0.072705
-3.810000 0.074056 0.073540 0.074056 0.073540
-3.780000 0.074762 0.074249 0.074762 0.074249
-3.750000 0.075297 0.074797 0.075297 0.074797
-3.720000 0.075611 0.075139 0.075611 0.075139
-3.690000 0.075644 0.075220 0.075644 0.075220
-3.660000 0.075339 0.074983 0.075339 0.074983
-3.630000 0.074642 0.074379 0.074642 0.074379
-3.600000 0.073515 0.073365 0.073515 0.073365
-3.570000 0.071939 0.071918 0.071939 0.071918
-3.540000 0.069921 0.070036 0.069921 0.070036
-3.510000 0.067496 0.067748 0.067496 0.067748
-3.480000 0.064733 0.065109 0.064733 0.065109
-3.450000 0.061725 0.062202 0.061725 0.062202
-3.420000 0.058580 0.059129 0.058580 0.059129
-3.390000 0.055413 0.056001 0.055413 0.056001
-3.360000 0.052329 0.052924 0.052329 0.052924
-3.330000 0.049414 0.049989 0.049414 0.049989
-3.300000 0.046736 0.047268 0.046736 0.047268
-3.270000 0.044336 0.044810 0.044336 0.044810
-3.240000 0.042239 0.042646 0.042239 0.042646
-3.210000 0.040453 0.040788 0.040453 0.040788
-3.180000 0.038977 0.039240 0.038977 0.039240
-3.150000 0.037804 0.037997 0.037804 0.037997
-3.120000 0.036925 0.037050 0.036925 0.037050
-3.090000 0.036330 0.036392 0.036330 0.036392
-3.060000 0.036012 0.036016 0.036012 0.036016
-3.030000 0.035966 0.035917 0.035966 0.035917
-3.000000 0.036190 0.036092 0.036190 0.036092
-2.970000 0.036685 0.036544 0.036685 0.036544
-2.940000 0.037454 0.037276 0.037454 0.037276
-2.910000 0.038503 0.038293 0.038503 0.038293
-2.880000 0.039836 0.039601 0.039836 0.039601
-2.850000 0.041456 0.041203 0.041456 0.041203
-2.820000 0.043358 0.043096 0.043358 0.043096
-2.790000 0.045535 0.045272 0.045535 0.045272
-2.760000 0.047968 0.047713 0.047968 0.047713
-2.730000 0.050635 0.050395 0.050635 0.050395
-2.700000 0.053506 0.053291 0.053506 0.053291
-2.670000 0.056547 0.056362 0.056547 0.056362
-2.640000 0.059711 0.059564 0.059711 0.059564
-2.610000 0.062929 0.062826 0.062929 0.062826
-2.580000 0.066109 0.066051 0.066109 0.066051
-2.550000 0.069135 0.069122 0.069135 0.069122
-2.520000 0.071897 0.071920 0.071897 0.071920
-2.490000 0.074319 0.074368 0.074319 0.074368
-2.460000 0.076390 0.076451 0.076390 0.076451
