# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-6.000000 0.670004 -0.361581 0.647100 -0.333791 
-5.970000 0.628335 -0.383668 0.601824 -0.356317 
-5.940000 0.584266 -0.408739 0.553813 -0.382115 
-5.910000 0.537615 -0.437287 0.502846 -0.411752 
-5.880000 0.488202 -0.469905 0.448706 -0.445920 
-5.850000 0.435857 -0.507316 0.391184 -0.485467 
-5.820000 0.380434 -0.550396 0.330107 -0.531432 
-5.790000 0.321842 -0.600219 0.265369 -0.585099 
-5.760000 0.260076 -0.658096 0.196980 -0.648050 
-5.730000 0.195280 -0.725637 0.125148 -0.722237 
-5.700000 0.127838 -0.804805 0.050405 -0.810062 
-5.670000 0.058505 -0.897992 -0.026202 -0.914454 
-5.640000 -0.011383 -1.008071 -0.102824 -1.038931 
-5.610000 -0.079611 -1.138427 -0.176383 -1.187595 
-5.580000 -0.142650 -1.292894 -0.241967 -1.364974 
-5.550000 -0.195071 -1.475521 -0.292038 -1.575554 
-5.520000 -0.228798 -1.689985 -0.315506 -1.822734 
-5.490000 -0.232345 -1.938409 -0.297006 -2.106854 
-5.460000 -0.190383 -2.219293 -0.217091 -2.422021 
-5.430000 -0.084443 -2.524398 -0.054721 -2.751997 
-5.400000 0.103991 -2.835156 0.206457 -3.066950 
-5.370000 0.386894 -3.120586 0.568131 -3.324858 
-5.340000 0.760492 -3.340296 1.008110 -3.481494 
-5.310000 1.198331 -3.455298 1.480300 -3.507477 
-5.280000 1.653962 -3.443601 1.928532 -3.402093 
-5.250000 2.075432 -3.310608 2.306851 -3.192850 
-5.220000 2.423248 -3.085977 2.592400 -2.921495 
-5.190000 2.680045 -2.809785 2.784897 -2.627876 
-5.160000 2.848459 -2.518448 2.897944 -2.340827 
-5.130000 2.942728 -2.237509 2.949934 -2.076870 
-5.100000 2.980629 -1.981171 2.958337 -1.843028 
-5.070000 2.978613 -1.755117 2.937327 -1.640406 
-5.040000 2.949878 -1.559802 2.897444 -1.467013 
-5.010000 2.904188 -1.392990 2.846116 -1.319558 
-4.980000 2.848399 -1.251353 2.788391 -1.194456 
-4.950000 2.787157 -1.131360 2.727611 -1.088314 
-4.920000 2.723526 -1.029707 2.665931 -0.998130 
-4.890000 2.659471 -0.943481 2.604705 -0.921340 
-4.860000 2.596212 -0.870207 2.544747 -0.855804 
-4.830000 2.534471 -0.807815 2.486518 -0.799749 
-4.800000 2.474642 -0.754595 2.430244 -0.751718 
-4.770000 2.416903 -0.709141 2.376003 -0.710514 
-4.740000 2.361294 -0.670301 2.323773 -0.675157 
