# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-6.000000 0.023032 0.023939 0.023032 0.023939
-5.970000 0.023633 0.024588 0.023633 0.024588
-5.940000 0.024249 0.025250 0.024249 0.025250
-5.910000 0.024879 0.025924 0.024879 0.025924
-5.880000 0.025523 0.026611 0.025523 0.026611
-5.850000 0.026180 0.027307 0.026180 0.027307
-5.820000 0.026851 0.028014 0.026851 0.028014
-5.790000 0.027534 0.028730 0.027534 0.028730
-5.760000 0.028230 0.029453 0.028230 0.029453
-5.730000 0.028936 0.030183 0.028936 0.030183
-5.700000 0.029653 0.030918 0.029653 0.030918
-5.670000 0.030379 0.031656 0.030379 0.031656
-5.640000 0.031114 0.032397 0.031114 0.032397
-5.610000 0.031856 0.033139 0.031856 0.033139
-5.580000 0.032605 0.033881 0.032605 0.033881
-5.550000 0.033358 0.034620 0.033358 0.034620
-5.520000 0.034115 0.035355 0.034115 0.035355
-5.490000 0.034875 0.036085 0.034875 0.036085
-5.460000 0.035635 0.036808 0.035635 0.036808
-5.430000 0.036396 0.037523 0.036396 0.037523
-5.400000 0.037154 0.038227 0.037154 0.038227
-5.370000 0.037909 0.038920 0.037909 0.038920
-5.340000 0.038660 0.039600 0.038660 0.039600
-5.310000 0.039404 0.040266 0.039404 0.040266
-5.280000 0.040141 0.040916 0.040141 0.040916
-5.250000 0.040869 0.041550 0.040869 0.041550
-5.220000 0.041586 0.042165 0.041586 0.042165
-5.190000 0.042291 0.042762 0.042291 0.042762
-5.160000 0.042984 0.043338 0.042984 0.043338
-5.130000 0.043662 0.043894 0.043662 0.043894
-5.100000 0.044325 0.044427 0.044325 0.044427
-5.070000 0.044971 0.044938 0.044971 0.044938
-5.040000 0.045600 0.045426 0.045600 0.045426
-5.010000 0.046210 0.045891 0.046210 0.045891
-4.980000 0.046801 0.046331 0.046801 0.046331
-4.950000 0.047372 0.046746 0.047372 0.046746
-4.920000 0.047921 0.047137 0.047921 0.047137
-4.890000 0.048449 0.047503 0.048449 0.047503
-4.860000 0.048955 0.047843 0.048955 0.047843
-4.830000 0.049437 0.048158 0.049437 0.048158
-4.800000 0.049897 0.048447 0.049897 0.048447
-4.770000 0.050332 0.048711 0.050332 0.048711
-4.740000 0.050743 0.048950 0.050743 0.048950
-4.710000 0.051130 0.049164 0.051130 0.049164
-4.680000 0.051492 0.049353 0.051492 0.049353
-4.650000 0.051828 0.049517 0.051828 0.049517
-4.620000 0.052139 0.049657 0.052139 0.049657
-4.590000 0.052423 0.049773 0.052423 0.049773
-4.560000 0.052682 0.049865 0.052682 0.049865
-4.530000 0.052914 0.049935 0.052914 0.049935
-4.500000 0.053120 0.049983 0.053120 0.049983
-4.470000 0.053299 0.050010 0.053299 0.050010
-4.440000 0.053450 0.050015 0.053450 0.050015
-4.410000 0.053575 0.050001 0.053575 0.050001
-4.380000 0.053673 0.049967 0.053673 0.049967
-4.350000 0.053744 0.049915 0.053744 0.049915
-4.320000 0.053787 0.049846 0.053787 0.049846
-4.290000 0.053803 0.049760 0.053803 0.049760
-4.260000 0.053793 0.049659 0.053793 0.049659
-4.230000 0.053755 0.049542 0.053755 0.049542
-4.200000 0.053692 0.049412 0.053692 0.049412
-4.170000 0.053602 0.049269 0.053602 0.049269
-4.140000 0.053487 0.049114 0.053487 0.049114
-4.110000 0.053347 0.048947 0.053347 0.048947
-4.080000 0.053183 0.048771 0.053183 0.048771
-4.050000 0.052995 0.048584 0.052995 0.048584
-4.020000 0.052785 0.048389 0.052785 0.048389
-3.990000 0.052554 0.048186 0.052554 0.048186
-3.960000 0.052303 0.047976 0.052303 0.047976
-3.930000 0.052034 0.047760 0.052034 0.047760
-3.900000 0.051747 0.047538 0.051747 0.047538
-3.870000 0.051444 0.047313 0.051444 0.047313
-3.840000 0.051127 0.047084 0.051127 0.047084
-3.810000 0.050798 0.046853 0.050798 0.046853
-3.780000 0.050459 0.046622 0.050459 0.046622
-3.750000 0.050110 0.046390 0.050110 0.046390
-3.720000 0.049755 0.046160 0.049755 0.046160
-3.690000 0.049396 0.045933 0.049396 0.045933
-3.660000 0.049033 0.045710 0.049033 0.045710
-3.630000 0.048670 0.045493 0.048670 0.045493
-3.600000 0.048308 0.045283 0.048308 0.045283
-3.570000 0.047951 0.045082 0.047951 0.045082
-3.540000 0.047599 0.044891 0.047599 0.044891
-3.510000 0.047255 0.044712 0.047255 0.044712
-3.480000 0.046921 0.044547 0.046921 0.044547
-3.450000 0.046600 0.044398 0.046600 0.044398
-3.420000 0.046294 0.044266 0.046294 0.044266
-3.390000 0.046006 0.044153 0.046006 0.044153
-3.360000 0.045737 0.044061 0.045737 0.044061
-3.330000 0.045491 0.043992 0.045491 0.043992
-3.300000 0.045270 0.043949 0.045270 0.043949
-3.270000 0.045076 0.043934 0.045076 0.043934
-3.240000 0.044913 0.043949 0.044913 0.043949
-3.210000 0.044783 0.043997 0.044783 0.043997
-3.180000 0.044690 0.044081 0.044690 0.044081
-3.150000 0.044638 0.044204 0.044638 0.044204
-3.120000 0.044629 0.044369 0.044629 0.044369
-3.090000 0.044669 0.044579 0.044669 0.044579
-3.060000 0.044761 0.044839 0.044761 0.044839
-3.030000 0.044910 0.045153 0.044910 0.045153
-3.000000 0.045122 0.045525 0.045122 0.045525
-2.970000 0.045402 0.045960 0.045402 0.045960
-2.940000 0.045757 0.046465 0.045757 0.046465
-2.910000 0.046193 0.047044 0.046193 0.047044
-2.880000 0.046718 0.047703 0.046718 0.047703
-2.850000 0.047341 0.048450 0.047341 0.048450
-2.820000 0.048070 0.049292 0.048070 0.049292
-2.790000 0.048915 0.050235 0.048915 0.050235
-2.760000 0.049885 0.051288 0.049885 0.051288
-2.730000 0.050991 0.052458 0.050991 0.052458
-2.700000 0.052243 0.053751 0.052243 0.053751
-2.670000 0.053651 0.055176 0.053651 0.055176
-2.640000 0.055225 0.056738 0.055225 0.056738
-2.610000 0.056973 0.058441 0.056973 0.058441
-2.580000 0.058899 0.060287 0.058899 0.060287
-2.550000 0.061006 0.062273 0.061006 0.062273
-2.520000 0.063285 0.064388 0.063285 0.064388
-2.490000 0.065717 0.066612 0.065717 0.066612
-2.460000 0.068261 0.068909 0.068261 0.068909
-2.430000 0.070851 0.071227 0.070851 0.071227
-2.400000 0.073395 0.073503 0.073395 0.073503
-2.370000 0.075790 0.075667 0.075790 0.075667
-2.340000 0.077953 0.077668 0.077953 0.077668
-2.310000 0.079867 0.079496 0.079867 0.079496
-2.280000 0.081615 0.081201 0.081615 0.081201
-2.250000 0.083364 0.082885 0.083364 0.082885
-2.220000 0.085283 0.084647 0.085283 0.084647
-2.190000 0.087383 0.086487 0.087383 0.086487
-2.160000 0.089330 0.088184 0.089330 0.088184
-2.130000 0.090361 0.089220 0.090361 0.089220
-2.100000 0.089519 0.088880 0.089519 0.088880
-2.070000 0.086287 0.086626 0.086287 0.086626
-2.040000 0.081169 0.082570 0.081169 0.082570
-2.010000 0.075544 0.077606 0.075544 0.077606
-1.980000 0.070941 0.073021 0.070941 0.073021
-1.950000 0.068539 0.070019 0.068539 0.070019
-1.920000 0.069215 0.069574 0.069215 0.069574
-1.890000 0.073885 0.072625 0.073885 0.072625
-1.860000 0.083759 0.080389 0.083759 0.080389
-1.830000 0.099846 0.094335 0.099846 0.094335
-1.800000 0.119619 0.114195 0.119619 0.114195
-1.770000 0.131095 0.131138 0.131095 0.131138
-1.740000 0.123644 0.128635 0.123644 0.128635
-1.710000 0.109691 0.111853 0.109691 0.111853
-1.680000 0.105820 0.102263 0.105820 0.102263
-1.650000 0.119063 0.110720 0.119063 0.110720
-1.620000 0.152814 0.143821 0.152814 0.143821
